"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"108","...does not include the Fake Washington Post, which is used as a “lobbyist” and should so  REGISTER. If the P.O. “i… https://t.co/D6wEE6pxVk",FALSE,89885,NA,2018-03-31 12:52:59,TRUE,NA,"980065419632566272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22589,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,2,1
"109","While we are on the subject, it is reported that the U.S. Post Office will lose $1.50 on average for each package i… https://t.co/KJjzUtRvI3",FALSE,82361,NA,2018-03-31 12:45:41,TRUE,NA,"980063581592047617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21644,FALSE,FALSE,NA,NA,1,0,1,1,0,1,1,0,2,0
"110","https://t.co/UM3YJ6lUiD",FALSE,88195,NA,2018-03-30 20:24:56,FALSE,NA,"979816766904954880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25481,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"111","Washington spent trillions building up foreign countries while allowing OUR OWN infrastructure to fall into a state… https://t.co/TkcOWOL5tf",FALSE,105412,NA,2018-03-29 20:06:37,TRUE,NA,"979449770640015361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26990,FALSE,FALSE,NA,NA,0,0,0,0,0,1,0,0,3,1
"112","JOBS, JOBS, JOBS! Unemployment claims have fallen to a 45-year low. Together, we are making the economy great again! https://t.co/pN2TE5HDQm",FALSE,74850,NA,2018-03-29 19:58:35,FALSE,NA,"979447750529110017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18358,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,0
"113","We are going to REBUILD our crumbling infrastructure, and there is no better place to begin this campaign than in t… https://t.co/5tbcDBRyqP",FALSE,74724,NA,2018-03-29 19:44:06,TRUE,NA,"979444104923840513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16659,FALSE,FALSE,NA,NA,0,0,0,0,0,1,0,0,1,0
"114","I have stated my concerns with Amazon long before the Election. Unlike others, they pay little or no taxes to state… https://t.co/ONyVYY2yMe",FALSE,130441,NA,2018-03-29 11:57:38,TRUE,NA,"979326715272065024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",33355,FALSE,FALSE,NA,NA,0,2,0,0,1,0,0,1,0,1
"115","....In the interim, Hon. Robert Wilkie of DOD will serve as Acting Secretary. I am thankful for Dr. David Shulkin’s… https://t.co/YTgVqILsvk",FALSE,48557,"realDonaldTrump",2018-03-28 21:31:54,TRUE,"979108653377703936","979108846408003584","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9900,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,1,1
"116","I am pleased to announce that I intend to nominate highly respected Admiral Ronny L. Jackson, MD, as the new Secret… https://t.co/YiQiyG8Xi2",FALSE,78752,NA,2018-03-28 21:31:08,TRUE,NA,"979108653377703936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17113,FALSE,FALSE,NA,NA,0,0,0,0,1,0,0,3,0,2
"117","Great briefing this afternoon on the start of our Southern Border WALL! https://t.co/pmCNoxxlkH",FALSE,119193,NA,2018-03-28 19:47:02,FALSE,NA,"979082457340407808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",32082,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,0,0
"118","....release known dangerous criminals into communities across the State. All citizens have the right to be protecte… https://t.co/K12LPpU2cX",FALSE,67359,"realDonaldTrump",2018-03-28 16:19:02,TRUE,"979030033149972480","979030109104562176","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15080,FALSE,FALSE,NA,NA,0,0,0,1,0,0,0,0,1,0
"119","My Administration stands in solidarity with the brave citizens in Orange County defending their rights against Cali… https://t.co/SSxUNFRYf3",FALSE,111392,NA,2018-03-28 16:18:44,TRUE,NA,"979030033149972480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26666,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,2,0,1
"120",".@USTradeRep just announced an agreement in principle with South Korea on KORUS! A great deal for American and Kore… https://t.co/JoVzyixLJJ",FALSE,55283,NA,2018-03-28 16:14:34,TRUE,NA,"979028987858112512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12234,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0
"121","Received message last night from XI JINPING of China that his meeting with KIM JONG UN went very well and that KIM… https://t.co/HA84eyjSV3",FALSE,103458,NA,2018-03-28 10:16:26,TRUE,NA,"978938860582440960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24215,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1
"122","For years and through many administrations, everyone said that peace and the denuclearization of the Korean Peninsu… https://t.co/1CEbFJYjfG",FALSE,113785,NA,2018-03-28 10:05:18,TRUE,NA,"978936058795757568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26480,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,0,1
"123","THE SECOND AMENDMENT WILL NEVER BE REPEALED! As much as Democrats would like to see this happen, and despite the wo… https://t.co/JhWsWonTUw",FALSE,194007,NA,2018-03-28 09:52:36,TRUE,NA,"978932860307505153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",59182,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,0,0
"124","I am very pleased to welcome the opioid memorial to the President's Park in April. I encourage all to visit and rem… https://t.co/Q8lkH5IdnS",FALSE,68149,NA,2018-03-27 18:35:06,TRUE,NA,"978701966456082433",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","realDonaldTrump",15517,FALSE,FALSE,NA,NA,0,0,0,0,2,0,0,1,0,3
"125","Trade talks going on with numerous countries that, for many years, have not treated the United States fairly. In the end, all will be happy!",FALSE,104605,NA,2018-03-27 00:44:52,FALSE,NA,"978432632273948674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21028,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,4,0,3
